"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 26 10:54:04 GMT 2025","Tue Aug 26 10:54:08 GMT 2025","4045","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testCRUD","testCRUD","Test case: Login, Create, Update & Delete User"
"passed","Tue Aug 26 10:54:10 GMT 2025","Tue Aug 26 10:54:10 GMT 2025","69","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithGivenUser","testRetrieveWithGivenUser","Test case: Retrieve user data"
"passed","Tue Aug 26 10:54:11 GMT 2025","Tue Aug 26 10:54:11 GMT 2025","218","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUser","testDeleteUser","Test case: Delete user"
"passed","Tue Aug 26 10:54:09 GMT 2025","Tue Aug 26 10:54:09 GMT 2025","226","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithInvalidEmail","testLoginWithInvalidEmail","Test case: Login with invalid email"
"passed","Tue Aug 26 10:54:10 GMT 2025","Tue Aug 26 10:54:10 GMT 2025","71","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveUserList","testRetrieveUserList","Test case: Retrieve a list of users"
"failed","Tue Aug 26 10:54:10 GMT 2025","Tue Aug 26 10:54:10 GMT 2025","169","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoAndExpectIncorrectValue","testUpdateUserInfoAndExpectIncorrectValue","Test case: Update infor and expect invalid status code"
"passed","Tue Aug 26 10:54:09 GMT 2025","Tue Aug 26 10:54:10 GMT 2025","275","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithUserNotDefined","testRegisterWithUserNotDefined","Test case: Register User with a user not defined"
"passed","Tue Aug 26 10:54:08 GMT 2025","Tue Aug 26 10:54:09 GMT 2025","228","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginSuccess","testLoginSuccess","Test case: Login - Success"
"passed","Tue Aug 26 10:54:09 GMT 2025","Tue Aug 26 10:54:09 GMT 2025","298","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithMissingPassword","testLoginWithMissingPassword","Test case: Login with missing providing password"
"passed","Tue Aug 26 10:54:09 GMT 2025","Tue Aug 26 10:54:09 GMT 2025","180","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithMissingPassword","testRegisterWithMissingPassword","Test case: Register User with missing password"
"failed","Tue Aug 26 10:54:10 GMT 2025","Tue Aug 26 10:54:11 GMT 2025","161","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoWithMissingAPIKey","testUpdateUserInfoWithMissingAPIKey","Test case: Update user infor with missing api key"
"passed","Tue Aug 26 10:54:09 GMT 2025","Tue Aug 26 10:54:09 GMT 2025","154","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterUserSuccess","testRegisterUserSuccess","Test case: Register User - Success"
"failed","Tue Aug 26 10:54:11 GMT 2025","Tue Aug 26 10:54:11 GMT 2025","194","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserAndExpectInvalidStatusCode","testDeleteUserAndExpectInvalidStatusCode","Test case: Delete user and expected invalid code"
"failed","Tue Aug 26 10:54:11 GMT 2025","Tue Aug 26 10:54:11 GMT 2025","194","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserWithoutUserID","testDeleteUserWithoutUserID","Test case: Delete user - missing user id"
"passed","Tue Aug 26 10:54:10 GMT 2025","Tue Aug 26 10:54:10 GMT 2025","178","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfo","testUpdateUserInfo","Test case: Updated user infor"
"passed","Tue Aug 26 10:54:10 GMT 2025","Tue Aug 26 10:54:10 GMT 2025","240","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithInvalidUserID","testRetrieveWithInvalidUserID","Test case: Retrieve user with providing invalid user id"
"passed","Tue Aug 26 10:54:08 GMT 2025","Tue Aug 26 10:54:08 GMT 2025","565","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testResgisterLoginThenRetrieveUserList","testResgisterLoginThenRetrieveUserList","Test case: Register user, login with that user and retrieve infor"
