"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 03 13:23:19 GMT 2025","Mon Nov 03 13:23:20 GMT 2025","214","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithGivenUser","testRetrieveWithGivenUser","Test case: Retrieve user data"
"failed","Mon Nov 03 13:23:20 GMT 2025","Mon Nov 03 13:23:21 GMT 2025","191","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserAndExpectInvalidStatusCode","testDeleteUserAndExpectInvalidStatusCode","Test case: Delete user and expected invalid code"
"passed","Mon Nov 03 13:23:19 GMT 2025","Mon Nov 03 13:23:19 GMT 2025","146","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithUserNotDefined","testRegisterWithUserNotDefined","Test case: Register User with a user not defined"
"passed","Mon Nov 03 13:23:20 GMT 2025","Mon Nov 03 13:23:20 GMT 2025","215","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithInvalidUserID","testRetrieveWithInvalidUserID","Test case: Retrieve user with providing invalid user id"
"passed","Mon Nov 03 13:23:19 GMT 2025","Mon Nov 03 13:23:19 GMT 2025","144","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithMissingPassword","testLoginWithMissingPassword","Test case: Login with missing providing password"
"failed","Mon Nov 03 13:23:20 GMT 2025","Mon Nov 03 13:23:20 GMT 2025","166","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoAndExpectIncorrectValue","testUpdateUserInfoAndExpectIncorrectValue","Test case: Update infor and expect invalid status code"
"passed","Mon Nov 03 13:23:18 GMT 2025","Mon Nov 03 13:23:18 GMT 2025","222","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginSuccess","testLoginSuccess","Test case: Login - Success"
"passed","Mon Nov 03 13:23:13 GMT 2025","Mon Nov 03 13:23:18 GMT 2025","5175","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testCRUD","testCRUD","Test case: Login, Create, Update & Delete User"
"passed","Mon Nov 03 13:23:18 GMT 2025","Mon Nov 03 13:23:18 GMT 2025","380","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testResgisterLoginThenRetrieveUserList","testResgisterLoginThenRetrieveUserList","Test case: Register user, login with that user and retrieve infor"
"passed","Mon Nov 03 13:23:20 GMT 2025","Mon Nov 03 13:23:20 GMT 2025","137","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUser","testDeleteUser","Test case: Delete user"
"passed","Mon Nov 03 13:23:19 GMT 2025","Mon Nov 03 13:23:19 GMT 2025","138","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterUserSuccess","testRegisterUserSuccess","Test case: Register User - Success"
"passed","Mon Nov 03 13:23:19 GMT 2025","Mon Nov 03 13:23:19 GMT 2025","136","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveUserList","testRetrieveUserList","Test case: Retrieve a list of users"
"passed","Mon Nov 03 13:23:18 GMT 2025","Mon Nov 03 13:23:19 GMT 2025","143","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithInvalidEmail","testLoginWithInvalidEmail","Test case: Login with invalid email"
"passed","Mon Nov 03 13:23:19 GMT 2025","Mon Nov 03 13:23:19 GMT 2025","154","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithMissingPassword","testRegisterWithMissingPassword","Test case: Register User with missing password"
"failed","Mon Nov 03 13:23:20 GMT 2025","Mon Nov 03 13:23:20 GMT 2025","122","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoWithMissingAPIKey","testUpdateUserInfoWithMissingAPIKey","Test case: Update user infor with missing api key"
"failed","Mon Nov 03 13:23:21 GMT 2025","Mon Nov 03 13:23:21 GMT 2025","126","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserWithoutUserID","testDeleteUserWithoutUserID","Test case: Delete user - missing user id"
"passed","Mon Nov 03 13:23:20 GMT 2025","Mon Nov 03 13:23:20 GMT 2025","211","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfo","testUpdateUserInfo","Test case: Updated user infor"
