"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 29 13:22:42 GMT 2025","Mon Sep 29 13:22:42 GMT 2025","117","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUser","testDeleteUser","Test case: Delete user"
"passed","Mon Sep 29 13:22:40 GMT 2025","Mon Sep 29 13:22:40 GMT 2025","45","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveUserList","testRetrieveUserList","Test case: Retrieve a list of users"
"passed","Mon Sep 29 13:22:40 GMT 2025","Mon Sep 29 13:22:40 GMT 2025","143","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithMissingPassword","testLoginWithMissingPassword","Test case: Login with missing providing password"
"passed","Mon Sep 29 13:22:40 GMT 2025","Mon Sep 29 13:22:40 GMT 2025","139","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithInvalidEmail","testLoginWithInvalidEmail","Test case: Login with invalid email"
"passed","Mon Sep 29 13:22:41 GMT 2025","Mon Sep 29 13:22:41 GMT 2025","134","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfo","testUpdateUserInfo","Test case: Updated user infor"
"passed","Mon Sep 29 13:22:39 GMT 2025","Mon Sep 29 13:22:40 GMT 2025","143","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginSuccess","testLoginSuccess","Test case: Login - Success"
"passed","Mon Sep 29 13:22:41 GMT 2025","Mon Sep 29 13:22:41 GMT 2025","213","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithInvalidUserID","testRetrieveWithInvalidUserID","Test case: Retrieve user with providing invalid user id"
"failed","Mon Sep 29 13:22:42 GMT 2025","Mon Sep 29 13:22:42 GMT 2025","121","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserAndExpectInvalidStatusCode","testDeleteUserAndExpectInvalidStatusCode","Test case: Delete user and expected invalid code"
"passed","Mon Sep 29 13:22:33 GMT 2025","Mon Sep 29 13:22:39 GMT 2025","5831","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testCRUD","testCRUD","Test case: Login, Create, Update & Delete User"
"passed","Mon Sep 29 13:22:40 GMT 2025","Mon Sep 29 13:22:40 GMT 2025","222","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithMissingPassword","testRegisterWithMissingPassword","Test case: Register User with missing password"
"passed","Mon Sep 29 13:22:40 GMT 2025","Mon Sep 29 13:22:40 GMT 2025","126","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithUserNotDefined","testRegisterWithUserNotDefined","Test case: Register User with a user not defined"
"failed","Mon Sep 29 13:22:41 GMT 2025","Mon Sep 29 13:22:42 GMT 2025","1192","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoAndExpectIncorrectValue","testUpdateUserInfoAndExpectIncorrectValue","Test case: Update infor and expect invalid status code"
"failed","Mon Sep 29 13:22:42 GMT 2025","Mon Sep 29 13:22:42 GMT 2025","116","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoWithMissingAPIKey","testUpdateUserInfoWithMissingAPIKey","Test case: Update user infor with missing api key"
"passed","Mon Sep 29 13:22:39 GMT 2025","Mon Sep 29 13:22:39 GMT 2025","512","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testResgisterLoginThenRetrieveUserList","testResgisterLoginThenRetrieveUserList","Test case: Register user, login with that user and retrieve infor"
"passed","Mon Sep 29 13:22:40 GMT 2025","Mon Sep 29 13:22:41 GMT 2025","202","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithGivenUser","testRetrieveWithGivenUser","Test case: Retrieve user data"
"failed","Mon Sep 29 13:22:42 GMT 2025","Mon Sep 29 13:22:43 GMT 2025","123","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserWithoutUserID","testDeleteUserWithoutUserID","Test case: Delete user - missing user id"
"passed","Mon Sep 29 13:22:40 GMT 2025","Mon Sep 29 13:22:40 GMT 2025","130","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterUserSuccess","testRegisterUserSuccess","Test case: Register User - Success"
