"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 07 13:21:39 GMT 2025","Tue Oct 07 13:21:40 GMT 2025","208","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfo","testUpdateUserInfo","Test case: Updated user infor"
"passed","Tue Oct 07 13:21:39 GMT 2025","Tue Oct 07 13:21:39 GMT 2025","207","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithUserNotDefined","testRegisterWithUserNotDefined","Test case: Register User with a user not defined"
"failed","Tue Oct 07 13:21:40 GMT 2025","Tue Oct 07 13:21:40 GMT 2025","140","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserAndExpectInvalidStatusCode","testDeleteUserAndExpectInvalidStatusCode","Test case: Delete user and expected invalid code"
"failed","Tue Oct 07 13:21:40 GMT 2025","Tue Oct 07 13:21:40 GMT 2025","151","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoAndExpectIncorrectValue","testUpdateUserInfoAndExpectIncorrectValue","Test case: Update infor and expect invalid status code"
"passed","Tue Oct 07 13:21:38 GMT 2025","Tue Oct 07 13:21:38 GMT 2025","215","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithInvalidEmail","testLoginWithInvalidEmail","Test case: Login with invalid email"
"passed","Tue Oct 07 13:21:40 GMT 2025","Tue Oct 07 13:21:40 GMT 2025","125","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUser","testDeleteUser","Test case: Delete user"
"passed","Tue Oct 07 13:21:38 GMT 2025","Tue Oct 07 13:21:38 GMT 2025","146","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithMissingPassword","testLoginWithMissingPassword","Test case: Login with missing providing password"
"passed","Tue Oct 07 13:21:33 GMT 2025","Tue Oct 07 13:21:37 GMT 2025","4808","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testCRUD","testCRUD","Test case: Login, Create, Update & Delete User"
"passed","Tue Oct 07 13:21:37 GMT 2025","Tue Oct 07 13:21:38 GMT 2025","446","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testResgisterLoginThenRetrieveUserList","testResgisterLoginThenRetrieveUserList","Test case: Register user, login with that user and retrieve infor"
"failed","Tue Oct 07 13:21:40 GMT 2025","Tue Oct 07 13:21:40 GMT 2025","189","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserWithoutUserID","testDeleteUserWithoutUserID","Test case: Delete user - missing user id"
"passed","Tue Oct 07 13:21:39 GMT 2025","Tue Oct 07 13:21:39 GMT 2025","199","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithGivenUser","testRetrieveWithGivenUser","Test case: Retrieve user data"
"passed","Tue Oct 07 13:21:39 GMT 2025","Tue Oct 07 13:21:39 GMT 2025","137","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithMissingPassword","testRegisterWithMissingPassword","Test case: Register User with missing password"
"passed","Tue Oct 07 13:21:39 GMT 2025","Tue Oct 07 13:21:39 GMT 2025","217","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithInvalidUserID","testRetrieveWithInvalidUserID","Test case: Retrieve user with providing invalid user id"
"failed","Tue Oct 07 13:21:40 GMT 2025","Tue Oct 07 13:21:40 GMT 2025","129","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoWithMissingAPIKey","testUpdateUserInfoWithMissingAPIKey","Test case: Update user infor with missing api key"
"passed","Tue Oct 07 13:21:39 GMT 2025","Tue Oct 07 13:21:39 GMT 2025","83","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveUserList","testRetrieveUserList","Test case: Retrieve a list of users"
"passed","Tue Oct 07 13:21:38 GMT 2025","Tue Oct 07 13:21:39 GMT 2025","130","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterUserSuccess","testRegisterUserSuccess","Test case: Register User - Success"
"passed","Tue Oct 07 13:21:38 GMT 2025","Tue Oct 07 13:21:38 GMT 2025","223","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginSuccess","testLoginSuccess","Test case: Login - Success"
