"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 03 13:19:19 GMT 2025","Wed Sep 03 13:19:19 GMT 2025","217","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserAndExpectInvalidStatusCode","testDeleteUserAndExpectInvalidStatusCode","Test case: Delete user and expected invalid code"
"passed","Wed Sep 03 13:19:18 GMT 2025","Wed Sep 03 13:19:18 GMT 2025","251","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithInvalidUserID","testRetrieveWithInvalidUserID","Test case: Retrieve user with providing invalid user id"
"passed","Wed Sep 03 13:19:18 GMT 2025","Wed Sep 03 13:19:18 GMT 2025","159","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithUserNotDefined","testRegisterWithUserNotDefined","Test case: Register User with a user not defined"
"failed","Wed Sep 03 13:19:19 GMT 2025","Wed Sep 03 13:19:19 GMT 2025","136","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoWithMissingAPIKey","testUpdateUserInfoWithMissingAPIKey","Test case: Update user infor with missing api key"
"passed","Wed Sep 03 13:19:17 GMT 2025","Wed Sep 03 13:19:17 GMT 2025","230","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithMissingPassword","testLoginWithMissingPassword","Test case: Login with missing providing password"
"passed","Wed Sep 03 13:19:17 GMT 2025","Wed Sep 03 13:19:17 GMT 2025","230","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterUserSuccess","testRegisterUserSuccess","Test case: Register User - Success"
"passed","Wed Sep 03 13:19:18 GMT 2025","Wed Sep 03 13:19:18 GMT 2025","157","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfo","testUpdateUserInfo","Test case: Updated user infor"
"passed","Wed Sep 03 13:19:17 GMT 2025","Wed Sep 03 13:19:17 GMT 2025","156","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginSuccess","testLoginSuccess","Test case: Login - Success"
"passed","Wed Sep 03 13:19:19 GMT 2025","Wed Sep 03 13:19:19 GMT 2025","209","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUser","testDeleteUser","Test case: Delete user"
"passed","Wed Sep 03 13:19:18 GMT 2025","Wed Sep 03 13:19:18 GMT 2025","75","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveUserList","testRetrieveUserList","Test case: Retrieve a list of users"
"failed","Wed Sep 03 13:19:18 GMT 2025","Wed Sep 03 13:19:19 GMT 2025","200","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoAndExpectIncorrectValue","testUpdateUserInfoAndExpectIncorrectValue","Test case: Update infor and expect invalid status code"
"failed","Wed Sep 03 13:19:19 GMT 2025","Wed Sep 03 13:19:19 GMT 2025","222","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserWithoutUserID","testDeleteUserWithoutUserID","Test case: Delete user - missing user id"
"passed","Wed Sep 03 13:19:18 GMT 2025","Wed Sep 03 13:19:18 GMT 2025","111","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithGivenUser","testRetrieveWithGivenUser","Test case: Retrieve user data"
"passed","Wed Sep 03 13:19:11 GMT 2025","Wed Sep 03 13:19:16 GMT 2025","4609","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testCRUD","testCRUD","Test case: Login, Create, Update & Delete User"
"passed","Wed Sep 03 13:19:17 GMT 2025","Wed Sep 03 13:19:18 GMT 2025","256","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithMissingPassword","testRegisterWithMissingPassword","Test case: Register User with missing password"
"passed","Wed Sep 03 13:19:16 GMT 2025","Wed Sep 03 13:19:17 GMT 2025","571","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testResgisterLoginThenRetrieveUserList","testResgisterLoginThenRetrieveUserList","Test case: Register user, login with that user and retrieve infor"
"passed","Wed Sep 03 13:19:17 GMT 2025","Wed Sep 03 13:19:17 GMT 2025","227","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithInvalidEmail","testLoginWithInvalidEmail","Test case: Login with invalid email"
