"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 26 13:25:04 GMT 2025","Tue Aug 26 13:25:05 GMT 2025","295","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithInvalidUserID","testRetrieveWithInvalidUserID","Test case: Retrieve user with providing invalid user id"
"passed","Tue Aug 26 13:25:03 GMT 2025","Tue Aug 26 13:25:03 GMT 2025","316","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithMissingPassword","testLoginWithMissingPassword","Test case: Login with missing providing password"
"failed","Tue Aug 26 13:25:05 GMT 2025","Tue Aug 26 13:25:06 GMT 2025","262","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoWithMissingAPIKey","testUpdateUserInfoWithMissingAPIKey","Test case: Update user infor with missing api key"
"passed","Tue Aug 26 13:25:02 GMT 2025","Tue Aug 26 13:25:03 GMT 2025","340","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithInvalidEmail","testLoginWithInvalidEmail","Test case: Login with invalid email"
"passed","Tue Aug 26 13:25:03 GMT 2025","Tue Aug 26 13:25:04 GMT 2025","333","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithMissingPassword","testRegisterWithMissingPassword","Test case: Register User with missing password"
"failed","Tue Aug 26 13:25:06 GMT 2025","Tue Aug 26 13:25:06 GMT 2025","213","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserWithoutUserID","testDeleteUserWithoutUserID","Test case: Delete user - missing user id"
"passed","Tue Aug 26 13:25:06 GMT 2025","Tue Aug 26 13:25:06 GMT 2025","325","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUser","testDeleteUser","Test case: Delete user"
"passed","Tue Aug 26 13:24:56 GMT 2025","Tue Aug 26 13:25:01 GMT 2025","4921","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testCRUD","testCRUD","Test case: Login, Create, Update & Delete User"
"passed","Tue Aug 26 13:25:03 GMT 2025","Tue Aug 26 13:25:03 GMT 2025","323","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterUserSuccess","testRegisterUserSuccess","Test case: Register User - Success"
"failed","Tue Aug 26 13:25:05 GMT 2025","Tue Aug 26 13:25:05 GMT 2025","364","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoAndExpectIncorrectValue","testUpdateUserInfoAndExpectIncorrectValue","Test case: Update infor and expect invalid status code"
"passed","Tue Aug 26 13:25:04 GMT 2025","Tue Aug 26 13:25:04 GMT 2025","77","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveUserList","testRetrieveUserList","Test case: Retrieve a list of users"
"failed","Tue Aug 26 13:25:06 GMT 2025","Tue Aug 26 13:25:06 GMT 2025","328","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserAndExpectInvalidStatusCode","testDeleteUserAndExpectInvalidStatusCode","Test case: Delete user and expected invalid code"
"passed","Tue Aug 26 13:25:05 GMT 2025","Tue Aug 26 13:25:05 GMT 2025","326","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfo","testUpdateUserInfo","Test case: Updated user infor"
"passed","Tue Aug 26 13:25:04 GMT 2025","Tue Aug 26 13:25:04 GMT 2025","246","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithUserNotDefined","testRegisterWithUserNotDefined","Test case: Register User with a user not defined"
"passed","Tue Aug 26 13:25:01 GMT 2025","Tue Aug 26 13:25:02 GMT 2025","881","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testResgisterLoginThenRetrieveUserList","testResgisterLoginThenRetrieveUserList","Test case: Register user, login with that user and retrieve infor"
"passed","Tue Aug 26 13:25:04 GMT 2025","Tue Aug 26 13:25:04 GMT 2025","446","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithGivenUser","testRetrieveWithGivenUser","Test case: Retrieve user data"
"passed","Tue Aug 26 13:25:02 GMT 2025","Tue Aug 26 13:25:02 GMT 2025","343","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginSuccess","testLoginSuccess","Test case: Login - Success"
