"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 02 13:18:57 GMT 2025","Thu Oct 02 13:18:57 GMT 2025","291","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserAndExpectInvalidStatusCode","testDeleteUserAndExpectInvalidStatusCode","Test case: Delete user and expected invalid code"
"failed","Thu Oct 02 13:18:57 GMT 2025","Thu Oct 02 13:18:57 GMT 2025","289","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoWithMissingAPIKey","testUpdateUserInfoWithMissingAPIKey","Test case: Update user infor with missing api key"
"failed","Thu Oct 02 13:18:53 GMT 2025","Thu Oct 02 13:18:54 GMT 2025","782","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testResgisterLoginThenRetrieveUserList","testResgisterLoginThenRetrieveUserList","Test case: Register user, login with that user and retrieve infor"
"failed","Thu Oct 02 13:18:56 GMT 2025","Thu Oct 02 13:18:56 GMT 2025","251","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfo","testUpdateUserInfo","Test case: Updated user infor"
"passed","Thu Oct 02 13:18:55 GMT 2025","Thu Oct 02 13:18:55 GMT 2025","198","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithMissingPassword","testRegisterWithMissingPassword","Test case: Register User with missing password"
"passed","Thu Oct 02 13:18:54 GMT 2025","Thu Oct 02 13:18:54 GMT 2025","346","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginSuccess","testLoginSuccess","Test case: Login - Success"
"failed","Thu Oct 02 13:18:57 GMT 2025","Thu Oct 02 13:18:57 GMT 2025","155","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUser","testDeleteUser","Test case: Delete user"
"failed","Thu Oct 02 13:18:56 GMT 2025","Thu Oct 02 13:18:56 GMT 2025","331","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithGivenUser","testRetrieveWithGivenUser","Test case: Retrieve user data"
"failed","Thu Oct 02 13:18:56 GMT 2025","Thu Oct 02 13:18:57 GMT 2025","150","API Suite","Single API Tests","tests.UpdateUserTest","tests.UpdateUserTest","testUpdateUserInfoAndExpectIncorrectValue","testUpdateUserInfoAndExpectIncorrectValue","Test case: Update infor and expect invalid status code"
"passed","Thu Oct 02 13:18:55 GMT 2025","Thu Oct 02 13:18:55 GMT 2025","192","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterUserSuccess","testRegisterUserSuccess","Test case: Register User - Success"
"failed","Thu Oct 02 13:18:56 GMT 2025","Thu Oct 02 13:18:56 GMT 2025","301","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveWithInvalidUserID","testRetrieveWithInvalidUserID","Test case: Retrieve user with providing invalid user id"
"passed","Thu Oct 02 13:18:54 GMT 2025","Thu Oct 02 13:18:54 GMT 2025","242","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithInvalidEmail","testLoginWithInvalidEmail","Test case: Login with invalid email"
"passed","Thu Oct 02 13:18:55 GMT 2025","Thu Oct 02 13:18:55 GMT 2025","250","API Suite","Single API Tests","tests.RegisterTest","tests.RegisterTest","testRegisterWithUserNotDefined","testRegisterWithUserNotDefined","Test case: Register User with a user not defined"
"failed","Thu Oct 02 13:18:57 GMT 2025","Thu Oct 02 13:18:58 GMT 2025","304","API Suite","Single API Tests","tests.DeleteUserTest","tests.DeleteUserTest","testDeleteUserWithoutUserID","testDeleteUserWithoutUserID","Test case: Delete user - missing user id"
"failed","Thu Oct 02 13:18:55 GMT 2025","Thu Oct 02 13:18:55 GMT 2025","169","API Suite","Single API Tests","tests.RetrieveUserTest","tests.RetrieveUserTest","testRetrieveUserList","testRetrieveUserList","Test case: Retrieve a list of users"
"passed","Thu Oct 02 13:18:54 GMT 2025","Thu Oct 02 13:18:55 GMT 2025","200","API Suite","Single API Tests","tests.LoginTest","tests.LoginTest","testLoginWithMissingPassword","testLoginWithMissingPassword","Test case: Login with missing providing password"
"failed","Thu Oct 02 13:18:49 GMT 2025","Thu Oct 02 13:18:53 GMT 2025","3942","API Suite","E2E API Tests","tests.E2ETest","tests.E2ETest","testCRUD","testCRUD","Test case: Login, Create, Update & Delete User"
